id	title	price_pc	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	condition	import_flag	shipping	shipping_origin	brand	maker	origin	minimum_purchase_quantity	search_tag
iherb-150900	[iHerb]Amazing Grass 스위트 그린 트로피칼 라임 150g	13180		https://www.onejikgu.co.kr/shop_view?idx=108062	https://www.onejikgu.co.kr/shop_view?idx=108062	https://cdn.imweb.me/upload/S2026031936150999f07e8/4bf5f09c4bfe8.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/30ebbd040b98f.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Amazing Grass	Amazing Grass	미국	1	Amazing Grass,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-122660	[iHerb]Seeking Health 소 담즙 125mg 캡슐 120정	21280		https://www.onejikgu.co.kr/shop_view?idx=107449	https://www.onejikgu.co.kr/shop_view?idx=107449	https://cdn.imweb.me/upload/S2026031936150999f07e8/ceac1733e0502.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/c1574e9c8b660.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/5a66a500d3451.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/e8a3ed4a23a50.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/9c2e88ef74e0d.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Seeking Health	Seeking Health	미국	1	Seeking Health,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-96246	[iHerb]캘리포니아골드 글루코사민 콘드로이틴 MSM 히알루론산 베지 캡슐 60정	14790		https://www.onejikgu.co.kr/shop_view?idx=107448	https://www.onejikgu.co.kr/shop_view?idx=107448	https://cdn.imweb.me/upload/S2026031936150999f07e8/8494105f08112.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/07636f514758a.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/06307921e72b6.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/d3b296f4b2fef.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/8ced4f9ed311b.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	California Gold Nutrition	California Gold Nutrition	미국	1	California Gold Nutrition,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-119547	[iHerb]Nature s Truth 울트라 콜라겐 I III형 코팅 정제 90정	14140		https://www.onejikgu.co.kr/shop_view?idx=107447	https://www.onejikgu.co.kr/shop_view?idx=107447	https://cdn.imweb.me/upload/S2026031936150999f07e8/a3a71f9238c30.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/3e5397cdf286f.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Nature's Truth	Nature's Truth	미국	1	Nature's Truth,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-126060	[iHerb]Bio Nutrition Colla-Flex 보스웰리아 실리카 비타민C 함유	24240		https://www.onejikgu.co.kr/shop_view?idx=107446	https://www.onejikgu.co.kr/shop_view?idx=107446	https://cdn.imweb.me/upload/S2026031936150999f07e8/d5cdb942d25e0.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/23a363c0eb5b1.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Bio Nutrition	Bio Nutrition	미국	1	Bio Nutrition,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-140590	[iHerb]Rule One Proteins 콜라겐 펩타이드 비타민C 히알루론산 초콜릿 퍼지 250g	22800		https://www.onejikgu.co.kr/shop_view?idx=107445	https://www.onejikgu.co.kr/shop_view?idx=107445	https://cdn.imweb.me/upload/S2026031936150999f07e8/544c50cc110c2.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/769367839fcb7.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Rule One Proteins	Rule One Proteins	미국	1	Rule One Proteins,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-140592	[iHerb]Rule One Proteins 콜라겐 펩타이드 비타민C 히알루론산 무맛 262 5g	23720		https://www.onejikgu.co.kr/shop_view?idx=107444	https://www.onejikgu.co.kr/shop_view?idx=107444	https://cdn.imweb.me/upload/S2026031936150999f07e8/aa4c4a5bbe8e7.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/1e834b0166495.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Rule One Proteins	Rule One Proteins	미국	1	Rule One Proteins,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-141692	[iHerb]Nutricost 초유 캡슐 120정	17240		https://www.onejikgu.co.kr/shop_view?idx=107441	https://www.onejikgu.co.kr/shop_view?idx=107441	https://cdn.imweb.me/upload/S2026031936150999f07e8/6559c3ea51259.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/a7c0eeb57102a.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Nutricost	Nutricost	미국	1	Nutricost,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-117704	[iHerb]스완슨 소 담즙 캡슐 60정	11330		https://www.onejikgu.co.kr/shop_view?idx=107440	https://www.onejikgu.co.kr/shop_view?idx=107440	https://cdn.imweb.me/upload/S2026031936150999f07e8/168d710267e3e.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/0eec64bab68aa.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/62e4925c2be48.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Swanson	Swanson	미국	1	Swanson,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-113461	[iHerb]Nature s Truth 여성용 종합비타민 구미젤리 콜라겐 맛있는 믹스 베리 구미젤리	14790		https://www.onejikgu.co.kr/shop_view?idx=107439	https://www.onejikgu.co.kr/shop_view?idx=107439	https://cdn.imweb.me/upload/S2026031936150999f07e8/953eb8dd672d0.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/062500aaa27b4.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Nature's Truth	Nature's Truth	미국	1	Nature's Truth,iHerb,아이허브,해외직구,비타민 영양제,CATE83
